year	pubyear	years_since	N	Y	rel_mean_count
2010	2010	0	5.1046511627907	20.3	3.97676537585421
2011	2010	1	16.0292207792208	60.3333333333333	3.76395921949902
2011	2011	0	4.19428571428571	17.5714285714286	4.18937329700273
2012	2010	2	21.6688102893891	85.2666666666667	3.93499530098432
2012	2011	1	11.8760330578512	48.7272727272727	4.10299234516353
2012	2012	0	3.23428571428571	6.36363636363636	1.96755541278509
2013	2010	3	20.427652733119	84.4666666666667	4.13491788656278
2013	2011	2	14.9550264550265	59.3636363636364	3.96947718829905
2013	2012	1	8.99713467048711	25.0952380952381	2.78924780103124
2013	2013	0	4.70786516853933	4.30769230769231	0.914999082063521
2014	2010	4	18.9134615384615	78.5333333333333	4.15224538213862
2014	2011	3	14.8760107816712	57.1818181818182	3.84389464494556
2014	2012	2	12.7083333333333	38.4285714285714	3.02388758782201
2014	2013	1	9.77167630057803	39.0714285714286	3.99843664173744
2014	2014	0	3.36842105263158	2.66666666666667	0.791666666666667
2015	2010	5	18.1013071895425	75.5333333333333	4.1728109767106
2015	2011	4	13.8700265251989	62.7272727272727	4.52250560684296
2015	2012	3	12.2722222222222	39.8571428571429	3.24775269999353
2015	2013	2	12.2200557103064	65.2142857142857	5.33666026246377
2015	2014	1	8.90228013029316	9.90909090909091	1.11309583208595
2015	2015	0	3.25874125874126	13.2857142857143	4.07694665849172
2016	2010	6	15.6501650165017	67.0666666666667	4.28536482496837
2016	2011	5	12.6639566395664	49.3636363636364	3.89796315390152
2016	2012	4	11.2416666666667	37	3.29132690882135
2016	2013	3	11.3563535911602	74.2142857142857	6.53504534871599
2016	2014	2	11.4600638977636	17.0909090909091	1.49134500849026
2016	2015	1	6.62328767123288	38.6818181818182	5.84027451349065
2016	2016	0	2.73684210526316	5.84615384615385	2.13609467455621
2017	2010	7	14.2671009771987	61.4	4.30360730593607
2017	2011	6	11.7569060773481	48	4.08270676691729
2017	2012	5	11.1420454545455	35.6190476190476	3.19681406473859
2017	2013	4	10.8491620111732	72.5714285714286	6.68912755627483
2017	2014	3	12.0218068535826	16.8181818181818	1.39897288510919
2017	2015	2	8.87581699346405	56.5909090909091	6.37585352791538
2017	2016	1	6.77651515151515	16.9090909090909	2.49524874231414
2017	2017	0	2.58490566037736	4.5	1.74087591240876
2018	2010	8	12.7170418006431	55	4.32490518331226
2018	2011	7	10.9204545454545	42.4545454545455	3.88761706555671
2018	2012	6	9.86127167630058	33	3.34642438452521
2018	2013	5	9.76966292134832	73.5714285714286	7.53060050932391
2018	2014	4	11.2826086956522	14.3636363636364	1.27307759677702
2018	2015	3	8.75974025974026	61	6.96367679762787
2018	2016	2	8.64846416382253	22.0869565217391	2.55385882433684
2018	2017	1	6.79299363057325	19.1428571428571	2.81802960283973
2018	2018	0	2.30935251798561	6.0921052631579	2.63801442859485
2019	2010	9	11.5921052631579	49.1333333333333	4.23851683692773
2019	2011	8	9.56497175141243	39.2727272727273	4.10589056542985
2019	2012	7	9.06213017751479	28.4	3.13392099249102
2019	2013	6	9.4956772334294	71.1428571428571	7.49213093431606
2019	2014	5	10.6056782334385	15.2727272727273	1.44005191714888
2019	2015	4	8.59163987138264	55.3636363636364	6.44389629831247
2019	2016	3	8.83505154639175	25.5652173913044	2.89361270356654
2019	2017	2	7.84240687679083	24.1764705882353	3.08278707902598
2019	2018	1	5.25280898876405	20.344262295082	3.87302533532042
2020	2010	10	10.4054054054054	45.2666666666667	4.35030303030303
2020	2011	9	8.80057803468208	37	4.20426929392447
2020	2012	8	8.02976190476191	26.45	3.29399555226093
2020	2013	7	8.3132183908046	73.5714285714286	8.84993333662535
2020	2014	6	10.1741935483871	16.8888888888889	1.65997322623829
2020	2015	5	7.90909090909091	57.7727272727273	7.30459770114943
2020	2016	4	8.53237410071943	25	2.93001686340641
2020	2017	3	8.14159292035398	27.8787878787879	3.42424242424242
2020	2018	2	7.82539682539683	30.784	3.93385801217039
2021	2010	11	11	40.7333333333333	3.7030303030303
2021	2011	10	8.94647887323944	34.0909090909091	3.81053927181131
2021	2012	9	8.6497005988024	28.6190476190476	3.3086749410737
2021	2013	8	8.82658959537572	79	8.95022920759659
2021	2014	7	10.8469055374593	15	1.38288288288288
2021	2015	6	8.62251655629139	67.6363636363637	7.84415584415585
2021	2016	5	8.74825174825175	26.9782608695652	3.0838459667049
2021	2017	4	8.74927113702624	29.7014925373134	3.39473906707714
2021	2018	3	9.88461538461539	40.5581395348837	4.10315808524115
