year	years_since	Sharer_updated	pubyear	mean_count	n	max_years
2010	0	N	2010	5.1046511627907	172	11
2010	0	Y	2010	20.3	10	11
2011	0	N	2011	4.19428571428571	175	10
2011	0	Y	2011	17.5714285714286	7	10
2012	0	N	2012	3.23428571428571	175	9
2012	0	Y	2012	6.36363636363636	11	9
2013	0	N	2013	4.70786516853933	178	8
2013	0	Y	2013	4.30769230769231	13	8
2014	0	N	2014	3.36842105263158	133	7
2014	0	Y	2014	2.66666666666667	6	7
2015	0	N	2015	3.25874125874126	143	6
2015	0	Y	2015	13.2857142857143	14	6
2016	0	Y	2016	5.84615384615385	26	5
2016	0	N	2016	2.73684210526316	133	5
2017	0	Y	2017	4.5	44	4
2017	0	N	2017	2.58490566037736	159	4
2018	0	N	2018	2.30935251798561	139	3
2018	0	Y	2018	6.0921052631579	76	3
2011	1	N	2010	16.0292207792208	308	11
2011	1	Y	2010	60.3333333333333	15	11
2012	1	N	2011	11.8760330578512	363	10
2012	1	Y	2011	48.7272727272727	11	10
2013	1	N	2012	8.99713467048711	349	9
2013	1	Y	2012	25.0952380952381	21	9
2014	1	N	2013	9.77167630057803	346	8
2014	1	Y	2013	39.0714285714286	14	8
2015	1	N	2014	8.90228013029316	307	7
2015	1	Y	2014	9.90909090909091	11	7
2016	1	N	2015	6.62328767123288	292	6
2016	1	Y	2015	38.6818181818182	22	6
2017	1	N	2016	6.77651515151515	264	5
2017	1	Y	2016	16.9090909090909	44	5
2018	1	Y	2017	19.1428571428571	63	4
2018	1	N	2017	6.79299363057325	314	4
2019	1	N	2018	5.25280898876405	356	3
2019	1	Y	2018	20.344262295082	122	3
2012	2	N	2010	21.6688102893891	311	11
2012	2	Y	2010	85.2666666666667	15	11
2013	2	N	2011	14.9550264550265	378	10
2013	2	Y	2011	59.3636363636364	11	10
2014	2	N	2012	12.7083333333333	360	9
2014	2	Y	2012	38.4285714285714	21	9
2015	2	N	2013	12.2200557103064	359	8
2015	2	Y	2013	65.2142857142857	14	8
2016	2	N	2014	11.4600638977636	313	7
2016	2	Y	2014	17.0909090909091	11	7
2017	2	N	2015	8.87581699346405	306	6
2017	2	Y	2015	56.5909090909091	22	6
2018	2	Y	2016	22.0869565217391	46	5
2018	2	N	2016	8.64846416382253	293	5
2019	2	Y	2017	24.1764705882353	68	4
2019	2	N	2017	7.84240687679083	349	4
2020	2	N	2018	7.82539682539683	378	3
2020	2	Y	2018	30.784	125	3
2013	3	N	2010	20.427652733119	311	11
2013	3	Y	2010	84.4666666666667	15	11
2014	3	N	2011	14.8760107816712	371	10
2014	3	Y	2011	57.1818181818182	11	10
2015	3	N	2012	12.2722222222222	360	9
2015	3	Y	2012	39.8571428571429	21	9
2016	3	N	2013	11.3563535911602	362	8
2016	3	Y	2013	74.2142857142857	14	8
2017	3	N	2014	12.0218068535826	321	7
2017	3	Y	2014	16.8181818181818	11	7
2018	3	N	2015	8.75974025974026	308	6
2018	3	Y	2015	61	22	6
2019	3	Y	2016	25.5652173913044	46	5
2019	3	N	2016	8.83505154639175	291	5
2020	3	Y	2017	27.8787878787879	66	4
2020	3	N	2017	8.14159292035398	339	4
2021	3	N	2018	9.88461538461539	390	3
2021	3	Y	2018	40.5581395348837	129	3
2014	4	N	2010	18.9134615384615	312	11
2014	4	Y	2010	78.5333333333333	15	11
2015	4	N	2011	13.8700265251989	377	10
2015	4	Y	2011	62.7272727272727	11	10
2016	4	N	2012	11.2416666666667	360	9
2016	4	Y	2012	37	21	9
2017	4	N	2013	10.8491620111732	358	8
2017	4	Y	2013	72.5714285714286	14	8
2018	4	N	2014	11.2826086956522	322	7
2018	4	Y	2014	14.3636363636364	11	7
2019	4	N	2015	8.59163987138264	311	6
2019	4	Y	2015	55.3636363636364	22	6
2020	4	N	2016	8.53237410071943	278	5
2020	4	Y	2016	25	44	5
2021	4	Y	2017	29.7014925373134	67	4
2021	4	N	2017	8.74927113702624	343	4
2015	5	N	2010	18.1013071895425	306	11
2015	5	Y	2010	75.5333333333333	15	11
2016	5	N	2011	12.6639566395664	369	10
2016	5	Y	2011	49.3636363636364	11	10
2017	5	N	2012	11.1420454545455	352	9
2017	5	Y	2012	35.6190476190476	21	9
2018	5	N	2013	9.76966292134832	356	8
2018	5	Y	2013	73.5714285714286	14	8
2019	5	N	2014	10.6056782334385	317	7
2019	5	Y	2014	15.2727272727273	11	7
2020	5	N	2015	7.90909090909091	308	6
2020	5	Y	2015	57.7727272727273	22	6
2021	5	Y	2016	26.9782608695652	46	5
2021	5	N	2016	8.74825174825175	286	5
2016	6	N	2010	15.6501650165017	303	11
2016	6	Y	2010	67.0666666666667	15	11
2017	6	N	2011	11.7569060773481	362	10
2017	6	Y	2011	48	11	10
2018	6	N	2012	9.86127167630058	346	9
2018	6	Y	2012	33	21	9
2019	6	N	2013	9.4956772334294	347	8
2019	6	Y	2013	71.1428571428571	14	8
2020	6	N	2014	10.1741935483871	310	7
2020	6	Y	2014	16.8888888888889	9	7
2021	6	N	2015	8.62251655629139	302	6
2021	6	Y	2015	67.6363636363637	22	6
2017	7	N	2010	14.2671009771987	307	11
2017	7	Y	2010	61.4	15	11
2018	7	N	2011	10.9204545454545	352	10
2018	7	Y	2011	42.4545454545455	11	10
2019	7	N	2012	9.06213017751479	338	9
2019	7	Y	2012	28.4	20	9
2020	7	N	2013	8.3132183908046	348	8
2020	7	Y	2013	73.5714285714286	14	8
2021	7	N	2014	10.8469055374593	307	7
2021	7	Y	2014	15	11	7
2018	8	N	2010	12.7170418006431	311	11
2018	8	Y	2010	55	15	11
2019	8	N	2011	9.56497175141243	354	10
2019	8	Y	2011	39.2727272727273	11	10
2020	8	N	2012	8.02976190476191	336	9
2020	8	Y	2012	26.45	20	9
2021	8	N	2013	8.82658959537572	346	8
2021	8	Y	2013	79	14	8
2019	9	N	2010	11.5921052631579	304	11
2019	9	Y	2010	49.1333333333333	15	11
2020	9	N	2011	8.80057803468208	346	10
2020	9	Y	2011	37	11	10
2021	9	N	2012	8.6497005988024	334	9
2021	9	Y	2012	28.6190476190476	21	9
2020	10	N	2010	10.4054054054054	296	11
2020	10	Y	2010	45.2666666666667	15	11
2021	10	N	2011	8.94647887323944	355	10
2021	10	Y	2011	34.0909090909091	11	10
2021	11	N	2010	11	294	11
2021	11	Y	2010	40.7333333333333	15	11
